Wind speed [m/s],P_potential_kW
9.7,1185.6
9.3,1076.4
9.8,1212.4
9.8,1212.4
10.1,1295.1999999999998
9.9,1239.2
9.6,1158.8
8.3,791.6000000000003
9.7,1185.6
9.7,1185.6
10.1,1295.1999999999998
10.2,1324.3999999999999
10.5,1412.0
10.3,1353.6000000000001
10.2,1324.3999999999999
10.1,1295.1999999999998
9.8,1212.4
10.4,1382.8000000000002
10.8,1497.5000000000002
10.3,1353.6000000000001
10.6,1440.5
10.5,1412.0
10.8,1497.5000000000002
11.1,1576.6
10.9,1526.0
10.7,1468.9999999999998
10.5,1412.0
10.3,1353.6000000000001
10.3,1353.6000000000001
10.1,1295.1999999999998
10.3,1353.6000000000001
10.2,1324.3999999999999
10.2,1324.3999999999999
10.5,1412.0
9.9,1239.2
9.6,1158.8
9.6,1158.8
8.3,791.6000000000003
8.7,908.3999999999997
8.5,852.0
8.2,761.3999999999997
7.5,580.0
7.4,555.0000000000001
6.8,418.59999999999997
6.3,332.4
6.0,285.0
6.5,364.0
6.8,418.59999999999997
6.3,332.4
6.1,300.79999999999995
7.1,479.9999999999999
7.8,652.5999999999999
8.1,731.1999999999999
8.2,761.3999999999997
8.6,880.1999999999999
9.0,993.0
9.4,1104.2
9.5,1132.0
9.7,1185.6
8.6,880.1999999999999
8.9,964.8000000000001
8.7,908.3999999999997
8.4,821.8000000000001
8.2,761.3999999999997
8.4,821.8000000000001
7.9,676.8000000000001
7.5,580.0
7.6,604.1999999999999
8.7,908.3999999999997
9.2,1048.6
8.9,964.8000000000001
8.5,852.0
9.2,1048.6
8.7,908.3999999999997
9.5,1132.0
8.7,908.3999999999997
9.0,993.0
8.3,791.6000000000003
8.7,908.3999999999997
9.0,993.0
8.7,908.3999999999997
8.9,964.8000000000001
9.2,1048.6
9.1,1020.8
9.2,1048.6
9.1,1020.8
9.3,1076.4
8.1,731.1999999999999
8.2,761.3999999999997
8.3,791.6000000000003
9.0,993.0
9.1,1020.8
9.7,1185.6
9.2,1048.6
9.9,1239.2
10.0,1266.0
9.9,1239.2
10.4,1382.8000000000002
9.9,1239.2
9.9,1239.2
10.5,1412.0
10.2,1324.3999999999999
10.4,1382.8000000000002
10.3,1353.6000000000001
10.8,1497.5000000000002
10.2,1324.3999999999999
10.6,1440.5
10.3,1353.6000000000001
10.7,1468.9999999999998
10.9,1526.0
10.4,1382.8000000000002
9.9,1239.2
9.8,1212.4
9.4,1104.2
8.8,936.6000000000001
8.8,936.6000000000001
8.9,964.8000000000001
9.0,993.0
9.1,1020.8
9.2,1048.6
9.1,1020.8
8.9,964.8000000000001
8.9,964.8000000000001
9.0,993.0
9.1,1020.8
8.9,964.8000000000001
9.0,993.0
9.1,1020.8
9.0,993.0
9.5,1132.0
9.7,1185.6
9.9,1239.2
10.3,1353.6000000000001
